,flow,category,amount
92,Flupyrsulfuron-methyl,"('soil', 'agricultural')",6.6303416663951154e-18
93,Mandipropamid,"('soil', 'agricultural')",0.0
94,"Olivine, in ground","('natural resource', 'in ground')",4.4496851102248395e-10
95,"BOD5, Biological Oxygen Demand","('water', 'ocean')",9.787196877211251e-06
96,Florasulam,"('soil', 'agricultural')",4.633092678493518e-18
97,Helium,"('air', 'non-urban air or from high stacks')",1.364865102167898e-08
98,Dimethenamid,"('soil', 'agricultural')",1.1399558168111741e-14
99,"Hydrocarbons, aliphatic, alkanes, unspecified","('air', 'urban air close to ground')",8.147248706929605e-08
100,Carbon,"('soil',)",3.952533746749289e-08
101,"Zinc, ion","('water', 'surface water')",4.226837694044093e-08
102,Methyl acetate,"('air', 'urban air close to ground')",3.537251515125653e-15
103,"Neodymium, 4% in bastnasite, 0.4% in crude ore, in ground","('natural resource', 'in ground')",1.0121387579247687e-14
104,Urea,"('water', 'surface water')",5.258682107921816e-14
105,Cyanide,"('water', 'ocean')",7.308784895865096e-10
106,"Gold, Au 9.7E-5%, Ag 7.6E-5%, in ore, in ground","('natural resource', 'in ground')",1.1175799583353148e-12
107,"Toluene, 2-chloro","('water', 'surface water')",1.8689234288805167e-12
108,Selenium,"('water', 'ground-')",1.209345598497685e-09
109,"Methane, dichlorodifluoro-, CFC-12","('air', 'non-urban air or from high stacks')",4.988051626330268e-14
110,Ethene,"('air',)",8.493684496416089e-13
111,Lambda-cyhalothrin,"('water', 'ground-')",4.4596626450527e-27
112,"Aldehydes, unspecified","('air',)",3.07622212588822e-11
113,Barium,"('water', 'ocean')",1.753642485207645e-08
114,"Occupation, forest, intensive","('natural resource', 'land')",0.008238083297027817
115,Atrazine,"('soil', 'agricultural')",4.448040980583783e-12
116,"2,4-D ester","('water', 'ground-')",2.5919945400764877e-21
117,"Transformation, to pasture, man made","('natural resource', 'land')",6.608622041015827e-09
118,Paraquat,"('air', 'non-urban air or from high stacks')",4.0540825584745863e-13
119,Norflurazon,"('soil', 'agricultural')",0.0
120,Propiconazole,"('water', 'surface water')",6.153178703259843e-26
121,"Wood, unspecified, standing","('natural resource', 'biotic')",3.593167000306173e-12
122,"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114","('air', 'non-urban air or from high stacks')",7.744130436491872e-10
123,"Transformation, to urban/industrial fallow (non-use)","('natural resource', 'land')",4.747653400498572e-11
124,Thidiazuron,"('soil', 'agricultural')",5.6451092037315513e-14
125,Sodium,"('water',)",0.0
126,Methyl parathion,"('air', 'non-urban air or from high stacks')",7.780218532843822e-14
127,"Transformation, to heterogeneous, agricultural","('natural resource', 'land')",2.5162129537487885e-07
128,Acenaphthene,"('air',)",5.953186764493431e-12
129,Fludioxonil,"('soil', 'agricultural')",8.407776469847016e-14
130,Antimony,"('air', 'low population density, long-term')",8.397949566758305e-12
131,Propane,"('air', 'non-urban air or from high stacks')",8.533351280386148e-08
132,2-Methyl-2-butene,"('water', 'surface water')",7.527985179872626e-17
133,"Coal, brown, in ground","('natural resource', 'in ground')",0.0029498686248428455
134,"NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'non-urban air or from high stacks')",1.4081056172619087e-05
135,Dimethylamine,"('air',)",0.0
136,Lead-210,"('air', 'urban air close to ground')",6.457778201423609e-07
137,"Occupation, unspecified","('natural resource', 'land')",5.036332763984155e-08
138,Chrysene,"('air',)",2.5062604977390183e-15
