,flow,category,amount
382,"Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground","('natural resource', 'in ground')",3.046298961599833e-12
383,Thallium,"('water', 'ground-, long-term')",1.2284059163268426e-08
384,"TiO2, 54% in ilmenite, 18% in crude ore, in ground","('natural resource', 'in ground')",1.0842049674117674e-07
385,Dimethylamine,"('air', 'urban air close to ground')",9.015969642526156e-15
386,Hypochlorite,"('water',)",0.0
387,"Transformation, from unspecified, natural (non-use)","('natural resource', 'land')",7.429955411142218e-10
388,"Gas, natural, in ground","('natural resource', 'in ground')",0.0018176056510634526
389,Permethrin,"('soil', 'agricultural')",2.960034515611512e-15
390,Aluminium,"('soil', 'industrial')",2.31498254664762e-07
391,"Ethane, 1,1,1-trichloro-, HCFC-140","('air', 'non-urban air or from high stacks')",9.883582543734263e-12
392,Cadmium,"('soil', 'industrial')",4.071647102632868e-10
393,Barium,"('soil',)",4.044951008177075e-09
394,Ethane,"('air',)",5.222362400803418e-10
395,"Carbon monoxide, fossil","('air', 'non-urban air or from high stacks')",1.971946667861985e-05
396,Sulfosate,"('soil', 'agricultural')",2.3894227012911107e-12
397,"Calcium, ion","('water', 'ocean')",8.737810212994081e-07
398,"VOC, volatile organic compounds, unspecified origin","('air',)",1.0049585559296794e-15
399,Butadiene,"('air', 'urban air close to ground')",6.9712234235303386e-15
400,o-Nitrotoluene,"('air', 'urban air close to ground')",1.3191555812260655e-14
401,"Methane, fossil","('air', 'lower stratosphere + upper troposphere')",8.693717644426035e-15
402,Sodium,"('water', 'ground-')",1.1745911529054337e-08
403,Cyprodinil,"('soil', 'agricultural')",1.1324361124023813e-12
404,Thiram,"('soil', 'agricultural')",5.862632446008811e-12
405,Silicon,"('water',)",0.0
406,Mefenpyr-diethyl,"('soil', 'agricultural')",5.469941615032204e-21
407,Methyl lactate,"('air', 'urban air close to ground')",5.985063763520382e-14
408,Chromium VI,"('air', 'urban air close to ground')",2.986502960087687e-11
409,"Benzene, ethyl-","('air', 'urban air close to ground')",7.09663899360983e-08
410,Potassium-40,"('air',)",1.5377677734243807e-09
411,"Potassium, ion","('water', 'ground-')",5.48838345524151e-07
412,Borate,"('water', 'surface water')",3.4004167863585803e-12
413,Quinoxyfen,"('soil', 'agricultural')",2.495240443132917e-16
414,Aluminium,"('water',)",1.6724521154467455e-08
415,Isoprene,"('air',)",8.613421589221165e-17
416,Chlorpyrifos,"('air', 'non-urban air or from high stacks')",2.2927074323251633e-12
417,Butyrolactone,"('water',)",5.7939057470647e-14
418,Flufenacet,"('soil', 'agricultural')",2.6085576708537593e-15
419,Toluene,"('water',)",1.2391858189115187e-09
420,Phosphorus,"('air', 'urban air close to ground')",2.7521307422458707e-09
421,"Sodium, ion","('water', 'ground-')",1.2780816539770662e-06
422,Quinclorac,"('soil', 'agricultural')",4.1967700575679116e-15
423,Kresoxim-methyl,"('soil', 'agricultural')",1.5137263371108296e-15
424,Benfluralin,"('soil', 'agricultural')",0.0
425,Trifluralin,"('soil', 'agricultural')",6.4392566955751474e-12
426,Chloroacetic acid,"('water',)",0.0
427,Nitrobenzene,"('air', 'urban air close to ground')",7.98251864130798e-11
428,"Occupation, annual crop, irrigated","('natural resource', 'land')",3.3022381649729026e-07
429,Sethoxydim,"('air', 'non-urban air or from high stacks')",5.071009302517272e-14
430,"Ethane, 1,1,1-trichloro-, HCFC-140","('air',)",8.285291470987006e-17
431,"Carbon dioxide, fossil","('air', 'non-urban air or from high stacks')",0.01176937696186037
432,Bromine,"('water', 'surface water')",4.3252327041892393e-07
433,"Ammonium, ion","('water', 'surface water')",6.757415679696074e-08
434,Silicon,"('soil', 'agricultural')",1.0316109410982363e-07
435,Ethylene,"('air',)",1.1115909548311486e-08
436,Dicamba,"('water', 'ground-')",9.100611009501746e-19
437,Mesosulfuron-methyl (prop),"('soil', 'agricultural')",2.2822718435901353e-17
438,Lead,"('water', 'ground-')",3.3971650851256315e-09
439,Phosphate,"('water', 'ground-')",1.3711125387486235e-05
440,"Silver, ion","('water', 'ground-, long-term')",6.365116340778557e-09
441,Carbonate,"('water', 'surface water')",1.701127513851273e-08
442,Beryllium,"('air',)",1.4251279277792977e-11
443,Nitrate,"('air', 'urban air close to ground')",9.213579404898012e-13
444,Sodium hydroxide,"('air', 'urban air close to ground')",2.8982797868476524e-11
445,Cobalt-60,"('air', 'non-urban air or from high stacks')",7.546012257295707e-10
446,Xenon-135,"('air', 'non-urban air or from high stacks')",0.001013823399054887
447,"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('natural resource', 'in ground')",4.1563450075536523e-07
448,Procymidone,"('soil', 'agricultural')",1.087085846073842e-14
449,"Arsenic, ion","('water',)",3.5408627238841825e-10
450,Zinc,"('soil',)",1.3839059865253609e-07
451,Nitrite,"('water', 'surface water')",7.874535369245521e-10
452,Thorium,"('air', 'non-urban air or from high stacks')",7.488244673286324e-14
453,Thorium-234,"('air', 'non-urban air or from high stacks')",1.0136561540697403e-07
454,Metolachlor,"('air', 'non-urban air or from high stacks')",1.5919999933919801e-12
455,Strontium,"('water',)",4.260863798808932e-08
456,Bromoxynil,"('soil', 'agricultural')",4.212953637531893e-15
457,"PAH, polycyclic aromatic hydrocarbons","('air',)",7.36776177562063e-09
458,Potassium-40,"('water', 'surface water')",7.605852537570707e-07
459,Lambda-cyhalothrin,"('water', 'surface water')",1.1190154498530458e-29
460,Radon-222,"('air', 'low population density, long-term')",3.3122860621482157
461,Niobium-95,"('water', 'surface water')",1.4206432533662814e-08
462,"Carbon monoxide, fossil","('air',)",0.0002259767759554389
463,Phosmet,"('soil', 'agricultural')",0.0
464,Cesium-137,"('water', 'surface water')",1.2548025082849184e-06
465,Trifloxystrobin,"('water', 'surface water')",1.2077649994577547e-26
466,"Carbon dioxide, in air","('natural resource', 'in air')",0.0040591221015003325
467,"Indeno(1,2,3-cd)pyrene","('air',)",5.0175618577725785e-15
468,Diethanolamine,"('water',)",1.7221117753470342e-12
469,Scandium,"('water', 'ground-, long-term')",7.341130893814297e-08
470,Ethyne,"('air', 'urban air close to ground')",6.125176774722705e-09
471,Benzo(k)fluoranthene,"('water', 'surface water')",2.1323613558397385e-16
472,"Aluminium, 24% in bauxite, 11% in crude ore, in ground","('natural resource', 'in ground')",8.773541697962046e-09
473,"Energy, solar, converted","('natural resource', 'in air')",5.9717962696288136e-05
474,Pymetrozine,"('soil', 'agricultural')",0.0
475,Chromium,"('air',)",3.912513759021139e-09
476,Nitrogen,"('soil', 'industrial')",8.21627306875447e-08
477,"Oils, non-fossil","('water', 'surface water')",3.649668526293773e-10
478,Alachlor,"('air', 'non-urban air or from high stacks')",4.869570314650108e-13
479,"Occupation, seabed, drilling and mining","('natural resource', 'land')",1.1227636398755189e-06
480,Thallium,"('soil', 'industrial')",3.881059832288891e-12
481,Methanol,"('air',)",7.1474910150467044e-09
482,Quinmerac,"('soil', 'agricultural')",0.0
483,Cumene,"('air', 'non-urban air or from high stacks')",2.6898697277672956e-12
484,Cobalt,"('water', 'ground-')",1.2381677340666702e-09
485,Acrolein,"('air', 'non-urban air or from high stacks')",2.006899604465807e-10
486,Uranium alpha,"('water', 'surface water')",2.8633118276228867e-05
487,Propionic acid,"('air',)",1.3660481009447228e-14
488,Formic acid,"('water', 'surface water')",1.7772343405852875e-14
489,"Transformation, to river, artificial","('natural resource', 'land')",4.952562798582549e-07
490,"PAH, polycyclic aromatic hydrocarbons","('water', 'surface water')",3.2729583383676983e-09
491,Methanol,"('water', 'ocean')",2.180382825145699e-10
492,"Gold, Au 1.3E-4%, Ag 4.6E-5%, in ore, in ground","('natural resource', 'in ground')",1.3817307801277155e-11
493,"Silver, Ag 1.8E-6%, in mixed ore, in ground","('natural resource', 'in ground')",1.025605555190197e-12
494,"Gold, Au 1.1E-4%, Ag 4.2E-3%, in ore, in ground","('natural resource', 'in ground')",8.628871186635042e-12
495,"Transformation, from wetland, inland (non-use)","('natural resource', 'land')",2.4452639936171974e-11
496,Radium-226,"('air', 'non-urban air or from high stacks')",2.020071403252221e-06
497,Cumene,"('air',)",4.019596869911653e-18
498,Chloride,"('soil', 'agricultural')",3.911656169418317e-09
499,Acetic acid,"('water',)",0.0
500,Acrylonitrile,"('water',)",0.0
501,Manganese,"('soil',)",1.9006001043026733e-09
502,"Sulfate, ion","('water',)",1.436225905114584e-10
503,Silicon,"('air', 'non-urban air or from high stacks')",6.7159101253417326e-09
504,Fluoride,"('water', 'ground-')",5.413426241543912e-08
505,"Transformation, to dump site, inert material landfill","('natural resource', 'land')",9.12025717043184e-07
506,Nitrate,"('water', 'ocean')",3.6080002042395326e-08
507,Teflubenzuron,"('soil', 'agricultural')",3.979368635474916e-13
508,Iodide,"('water', 'ground-')",1.444988334718798e-10
509,"Transformation, to forest, secondary (non-use)","('natural resource', 'land')",1.1661584166832674e-22
510,Lead,"('water',)",2.2700208062052503e-09
511,Ethanol,"('water', 'surface water')",7.195661522922094e-10
512,Silver,"('air', 'non-urban air or from high stacks')",3.4440622836710314e-13
513,"Transformation, to industrial area","('natural resource', 'land')",8.237033406831593e-06
514,"Carbon monoxide, non-fossil","('air',)",7.038477535625067e-10
515,"Oils, non-fossil","('soil', 'forestry')",4.2349984003463214e-08
516,"Acidity, unspecified","('water',)",1.6427723969139063e-10
517,Tebupirimphos,"('soil', 'agricultural')",2.2413331068162685e-15
518,Dichlorprop,"('water', 'surface water')",1.0708529525752758e-23
519,Nitrogen,"('soil',)",1.2334436906057844e-09
520,Nitrogen fluoride,"('air', 'urban air close to ground')",3.5648710895062396e-18
521,Silver,"('soil', 'industrial')",8.324058623685991e-13
522,Strontium,"('air', 'low population density, long-term')",3.428744522532079e-10
523,Sulfur,"('water', 'ground-')",3.9981285553217025e-08
524,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'non-urban air or from high stacks')",2.889404105462712e-11
525,Molybdenum,"('water', 'ocean')",3.36960262099452e-11
526,Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",4.96768336014672e-09
527,"Metamorphous rock, graphite containing, in ground","('natural resource', 'in ground')",7.612521209108679e-08
528,Metalaxil,"('soil', 'agricultural')",1.0433126605777484e-12
529,Magnesium,"('air',)",1.647946173761762e-11
530,"Ammonium, ion","('water', 'ocean')",2.0914863327149242e-08
531,Sulfite,"('water',)",0.0
532,Indoxacarb,"('soil', 'agricultural')",0.0
533,"Silver, ion","('water', 'ocean')",1.1862055120512408e-11
534,Flumetsulam,"('soil', 'agricultural')",1.2538905101476433e-15
535,Lenacil,"('soil', 'agricultural')",6.469721300601113e-17
536,"Clay, bentonite, in ground","('natural resource', 'in ground')",3.22293824406567e-05
537,"Transformation, to seabed, unspecified","('natural resource', 'land')",2.1988066339874595e-11
538,Acetochlor,"('soil', 'agricultural')",1.3180582306213268e-13
539,Buprofezin,"('soil', 'agricultural')",0.0
540,Iodosulfuron,"('soil', 'agricultural')",1.244555574654976e-17
541,"Transformation, to unspecified","('natural resource', 'land')",4.5014749311154874e-07
542,"Transformation, to annual crop, non-irrigated, intensive","('natural resource', 'land')",6.152942393746804e-06
543,Tebuconazole,"('soil', 'agricultural')",5.819926864506533e-14
544,Krypton-85,"('air', 'non-urban air or from high stacks')",3.975530284144986e-05
545,Acenaphthene,"('water', 'ocean')",1.2296997719574545e-13
546,Benzo(k)fluoranthene,"('air',)",1.9639013780029784e-14
547,Metribuzin,"('soil', 'agricultural')",9.749415726100514e-12
548,Esfenvalerate,"('air', 'non-urban air or from high stacks')",7.175901224319936e-14
549,Nitrogen,"('air',)",2.9112287096811805e-06
550,"BOD5, Biological Oxygen Demand","('water', 'surface water')",7.121996508958683e-05
551,Iron-59,"('water', 'surface water')",2.341134495571608e-06
552,Iodine,"('air', 'urban air close to ground')",5.326894775851419e-10
553,Silicon,"('water', 'ground-')",4.2042331142746883e-07
554,Carbaryl,"('water', 'surface water')",1.2511975179720498e-23
555,Picoxystrobin,"('soil', 'agricultural')",1.6114739596814847e-16
556,Hydrogen chloride,"('air', 'lower stratosphere + upper troposphere')",1.4953348268189713e-16
557,"Iodine, 0.03% in water","('natural resource', 'in water')",8.469344127893523e-11
558,Ethylamine,"('air', 'urban air close to ground')",4.0299033694960337e-14
559,Silver,"('soil',)",1.1186736056736307e-11
560,Methyl ethyl ketone,"('air', 'urban air close to ground')",5.209209859077692e-09
561,Mesotrione,"('soil', 'agricultural')",3.4686561210654116e-15
562,Silver,"('air', 'urban air close to ground')",2.4817541524672875e-12
563,Hydrogen fluoride,"('air',)",5.5049229336455366e-08
564,Mercury,"('water',)",1.3667602359840264e-10
565,Antimony-122,"('water', 'surface water')",2.6218261968764203e-09
566,"Chromium, ion","('water', 'surface water')",7.716604645469497e-10
567,Ethanol,"('air', 'non-urban air or from high stacks')",1.0533746812123393e-09
568,Radium-226,"('water', 'ocean')",1.7806220911443064e-06
569,Uranium-238,"('air', 'non-urban air or from high stacks')",1.1467788739153168e-06
570,Nitrogen oxides,"('air',)",0.00020373229879987428
571,Diflufenzopyr-sodium,"('soil', 'agricultural')",4.2689104161808065e-16
572,"Transformation, from pasture, man made, intensive","('natural resource', 'land')",5.828509679744337e-09
573,Beryllium,"('water', 'surface water')",1.1313473674683273e-11
574,3-Methyl-1-butanol,"('air', 'urban air close to ground')",0.0
575,"Copper, Cu 0.2%, in mixed ore, in ground","('natural resource', 'in ground')",3.798447890102732e-09
576,Cobalt,"('water', 'surface water')",5.513620454599014e-10
577,Chlorpyrifos,"('soil', 'agricultural')",1.6453284518010615e-11
578,"Cadmium, ion","('water', 'surface water')",6.454280643011832e-10
579,"Tin, ion","('water',)",8.595617844883599e-11
580,Hydrogen sulfide,"('water', 'ground-, long-term')",3.3031830900746375e-07
581,"NMVOC, non-methane volatile organic compounds, unspecified origin","('air', 'lower stratosphere + upper troposphere')",1.1666132446887557e-13
582,Thorium-232,"('water', 'ground-')",2.5607111358784834e-16
583,"Hydrocarbons, aliphatic, unsaturated","('air', 'non-urban air or from high stacks')",1.187692237152051e-08
584,"Transformation, from annual crop, greenhouse","('natural resource', 'land')",0.0
585,Chloride,"('water', 'ground-')",7.51213575654861e-05
586,Manganese-54,"('air', 'non-urban air or from high stacks')",3.0109406068466605e-11
587,Chromium,"('air', 'low population density, long-term')",1.2619989430083695e-13
588,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","('air', 'low population density, long-term')",1.0218511875551186e-12
589,Bitertanol,"('soil', 'agricultural')",1.6360875586191946e-17
590,Beryllium,"('soil', 'industrial')",4.515484077236146e-12
591,"Occupation, traffic area, rail network","('natural resource', 'land')",3.645352603882548e-05
592,Chlorimuron-ethyl,"('air', 'non-urban air or from high stacks')",1.1492730504710027e-13
593,Vanadium,"('air',)",2.3118766843788052e-09
594,Piperonyl butoxide,"('soil', 'agricultural')",0.0
595,"2,4-D","('air', 'non-urban air or from high stacks')",4.715814976017694e-12
596,Cesium,"('water', 'ocean')",1.9770092803435312e-11
597,Bromopropane,"('water',)",0.0
598,Phosphate,"('water',)",1.8897793717500495e-13
599,"Phenol, pentachloro-","('air',)",2.5995266300234525e-12
600,Scandium,"('water', 'ground-')",3.1026313974424615e-10
601,Acenaphthene,"('water', 'surface water')",7.182733816543011e-12
602,Mineral oil,"('soil', 'agricultural')",0.0
603,"Silver, Ag 5.4E-3%, in mixed ore, in ground","('natural resource', 'in ground')",1.0335729076842714e-10
604,Uranium,"('air',)",1.7550633936098545e-16
605,"Solids, inorganic","('water', 'ocean')",1.0560874596672089e-29
606,Barite,"('water',)",1.1589640293524076e-07
607,"Oils, unspecified","('soil', 'forestry')",2.7273811362159324e-05
608,Cerium-141,"('water', 'surface water')",4.00964521341477e-09
609,"Phenol, 2,4-dichloro","('air',)",3.23362510352476e-15
610,Rubidium,"('water', 'ocean')",1.9770092523354916e-10
611,"Occupation, urban, discontinuously built","('natural resource', 'land')",1.4763920916218185e-08
612,2-Propanol,"('air',)",2.1900354986009237e-08
613,Tributyltin compounds,"('water', 'ocean')",1.0231460395255349e-09
614,"Gold, Au 1.4E-4%, in ore, in ground","('natural resource', 'in ground')",4.123542449951486e-11
615,Formaldehyde,"('water',)",1.6631632713691956e-09
616,"Occupation, river, artificial","('natural resource', 'land')",4.509440108193274e-05
617,"2,4-D ester","('soil', 'agricultural')",8.447110664124436e-20
618,Organic carbon,"('water', 'ground-')",5.431094774641806e-10
619,"Occupation, annual crop, non-irrigated","('natural resource', 'land')",4.245749754240808e-09
620,Aluminium hydroxide,"('water',)",1.0557677668705833e-13
621,Sulfur hexafluoride,"('air',)",2.629118596582063e-09
622,"Transformation, to annual crop, greenhouse","('natural resource', 'land')",0.0
623,"VOC, volatile organic compounds, unspecified origin","('water', 'ocean')",6.91953258523536e-09
624,Diethylamine,"('water', 'surface water')",2.791106667298051e-13
625,Carbonate,"('water', 'ocean')",1.1938752238399018e-10
626,Bensulfuron methyl ester,"('soil', 'agricultural')",1.1391707089476864e-15
627,"Peat, in ground","('natural resource', 'biotic')",7.475683566798412e-06
628,Selenium,"('soil',)",4.1820543350374476e-10
629,Triethylene glycol,"('water',)",1.7734395165749218e-12
630,Dimethoate,"('soil', 'agricultural')",8.608934184970644e-15
631,"Carbon dioxide, non-fossil","('air', 'urban air close to ground')",0.0013327559429154733
632,Mecoprop,"('soil', 'agricultural')",3.901272134559627e-15
633,"Phenol, pentachloro-","('air', 'urban air close to ground')",5.312717531652033e-14
634,Sodium,"('air', 'non-urban air or from high stacks')",1.0256238901169344e-09
635,"Silver, ion","('water', 'surface water')",3.4406287730775433e-10
636,"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('natural resource', 'in ground')",8.250361916168259e-06
637,"Kaolinite, 24% in crude ore, in ground","('natural resource', 'in ground')",3.62717675633925e-07
638,Nitrite,"('water', 'ocean')",1.7526554235985294e-10
639,Nitrate,"('water', 'ground-')",9.697134389805055e-07
640,Prochloraz,"('soil', 'agricultural')",2.3657146593840873e-15
641,Xenon-135m,"('air', 'non-urban air or from high stacks')",0.0005948648618304257
642,Rubidium,"('water', 'surface water')",3.891927565249416e-09
643,Fentin hydroxide,"('soil', 'agricultural')",0.0
644,"Occupation, annual crop, non-irrigated, intensive","('natural resource', 'land')",3.1930494538192887e-06
645,Xylene,"('water', 'ocean')",4.903708438728974e-09
646,Molybdenum,"('air', 'non-urban air or from high stacks')",8.892089386602138e-11
647,"2,2,4-Trimethyl pentane","('air',)",2.2525638359821325e-16
648,"Cobalt, Co 5.0E-2%, in mixed ore, in ground","('natural resource', 'in ground')",2.8080875964342937e-10
649,"Potassium, ion","('water',)",2.2839086799086695e-14
650,Manganese-54,"('water', 'surface water')",1.9293996534158648e-07
651,"Nickel, ion","('water', 'ground-, long-term')",2.1568132669738807e-06
652,"PAH, polycyclic aromatic hydrocarbons","('soil',)",7.115310429246023e-11
653,"Oils, unspecified","('water', 'surface water')",2.212153653503949e-05
654,"Transformation, to urban, discontinuously built","('natural resource', 'land')",3.0446639686249507e-10
655,"VOC, volatile organic compounds, unspecified origin","('water',)",1.2354308477832085e-10
656,Dimethyl ether,"('water', 'surface water')",0.0
657,Helium,"('air', 'urban air close to ground')",0.0
658,"Benzene, ethyl-","('water', 'surface water')",9.34106919927674e-09
659,Molybdenum-99,"('water', 'surface water')",3.6183237139010315e-09
660,Monoethanolamine,"('water',)",1.3576958939928739e-12
661,Tri-allate,"('soil', 'agricultural')",2.306263149489761e-16
662,Terbacil,"('soil', 'agricultural')",0.0
663,o-Xylene,"('water',)",1.7240489860547487e-11
664,"Heat, waste","('water', 'surface water')",0.0013204368100551776
665,"Methane, chlorodifluoro-, HCFC-22","('air', 'urban air close to ground')",3.064586214955222e-11
666,Chromium,"('air', 'non-urban air or from high stacks')",1.5773886127890937e-07
667,Cyclohexane,"('air', 'non-urban air or from high stacks')",0.0
668,"VOC, volatile organic compounds, unspecified origin","('water', 'surface water')",1.3790107294152398e-07
669,Fenoxaprop,"('soil', 'agricultural')",1.00639985421246e-13
670,Metamitron,"('soil', 'agricultural')",3.368437662305389e-15
671,Sodium-24,"('water', 'surface water')",3.1487521476349876e-08
672,"Transformation, from dump site, sanitary landfill","('natural resource', 'land')",1.5931818631306482e-08
673,Aluminium,"('soil', 'agricultural')",2.7036224453179538e-08
674,"Iron, ion","('water',)",6.473899322565922e-07
675,Zinc,"('soil', 'agricultural')",2.0789202551371164e-09
676,Glyphosate,"('soil', 'agricultural')",1.536706984998948e-09
677,"TiO2, 54% in ilmenite, 2.6% in crude ore, in ground","('natural resource', 'in ground')",1.4166824865403112e-06
678,Phosphorus pentachloride,"('water',)",0.0
679,Benz(a)anthracene,"('air',)",2.2960809565470337e-14
680,"Actinides, radioactive, unspecified","('air', 'non-urban air or from high stacks')",1.0239308246235065e-06
681,Titanium,"('soil', 'agricultural')",1.6869024272787819e-09
682,Benzaldehyde,"('air',)",2.3682753005301005e-08
683,Propanol,"('water', 'surface water')",9.07834410259312e-14
684,"Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground","('natural resource', 'in ground')",2.0831908813559454e-08
685,4-Methyl-2-pentanone,"('air', 'non-urban air or from high stacks')",3.3896158498323746e-15
686,Phosphorus,"('soil', 'industrial')",3.041821416100407e-08
687,Monocrotophos,"('soil', 'agricultural')",2.0909635621978543e-11
688,Lead,"('air', 'non-urban air or from high stacks')",6.916836999613514e-08
689,"DOC, Dissolved Organic Carbon","('water', 'ocean')",2.8028092434467013e-06
690,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","('air', 'urban air close to ground')",4.432372439216008e-13
691,Methomyl,"('soil', 'agricultural')",3.0092834592110277e-21
692,"Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground","('natural resource', 'in ground')",1.2032995838219996e-08
693,Quizalofop-P,"('soil', 'agricultural')",1.563786525032904e-15
694,"Lead, Pb 0.014%, in mixed ore, in ground","('natural resource', 'in ground')",1.2918687222351451e-06
695,"COD, Chemical Oxygen Demand","('water', 'ocean')",9.989148212050494e-06
696,"Carbon monoxide, fossil","('air', 'lower stratosphere + upper troposphere')",6.433468983666847e-13
697,"1,4-Butanediol","('water', 'surface water')",4.1486653634678194e-13
698,Isopropylamine,"('air', 'urban air close to ground')",1.6770916848484906e-14
699,Thorium-234,"('water', 'surface water')",7.335893753629023e-07
700,"Spodumene, in ground","('natural resource', 'in ground')",1.1432413608142059e-11
701,Fluorine,"('air', 'low population density, long-term')",5.274211721891903e-09
702,Thallium,"('water', 'surface water')",2.3173599851091534e-11
703,"Hydrocarbons, chlorinated","('air', 'non-urban air or from high stacks')",1.0009285727087112e-10
704,m-Xylene,"('water',)",2.3668730091851054e-11
705,Nitrate,"('air',)",1.3959923777729002e-08
706,Hypochlorite,"('water', 'surface water')",2.119231006667081e-09
707,Aclonifen,"('soil', 'agricultural')",4.0896144461920006e-16
708,Benzene,"('air', 'urban air close to ground')",2.933197862942777e-07
709,Toluene,"('air', 'non-urban air or from high stacks')",3.546206334483419e-08
710,Propionic acid,"('air', 'non-urban air or from high stacks')",5.515101281680926e-10
711,"Suspended solids, unspecified","('water',)",3.4072680567816917e-06
712,Octaethylene glycol monododecyl ether,"('air',)",0.0
713,Antimony-124,"('water', 'surface water')",2.7141112053733233e-06
714,"Hydrocarbons, chlorinated","('air',)",4.305851705752955e-09
715,"Occupation, dump site","('natural resource', 'land')",0.00012086116276985573
716,"PAH, polycyclic aromatic hydrocarbons","('air', 'non-urban air or from high stacks')",7.0133892232425225e-09
717,Dipropylamine,"('water', 'surface water')",1.6703087172691114e-13
718,Nitrate,"('soil',)",2.733183244428366e-08
719,"Transformation, to seabed, drilling and mining","('natural resource', 'land')",1.1227636398755189e-06
720,Metolachlor,"('water', 'ground-')",6.350487462739397e-16
721,Sulfosulfuron,"('soil', 'agricultural')",1.0249818676310481e-16
722,Phosphorus,"('water', 'surface water')",6.369347292871842e-09
723,Radium-224,"('water', 'ocean')",9.885046065349182e-07
724,Molybdenum,"('soil',)",7.73406204637122e-11
725,Nitrate,"('water',)",9.799611175566413e-10
726,Fomesafen,"('air', 'non-urban air or from high stacks')",7.608946663178247e-13
727,"Xenon, in air","('natural resource', 'in air')",9.281456066713497e-19
728,Molybdenum,"('water', 'surface water')",7.664855781657005e-09
729,Benz(a)anthracene,"('water', 'surface water')",3.8248635420409265e-15
730,Xylene,"('air', 'urban air close to ground')",5.5763492181258525e-08
731,1-Pentanol,"('water', 'surface water')",3.3474813393952686e-14
732,Arsenic,"('air', 'urban air close to ground')",4.804550600512073e-10
733,Bromoxynil,"('air', 'non-urban air or from high stacks')",3.2331417214853692e-21
734,Styrene,"('air', 'urban air close to ground')",9.437740019317626e-08
735,"Lithium, 0.15% in brine, in ground","('natural resource', 'in ground')",9.60490849023026e-12
736,Scandium,"('air', 'non-urban air or from high stacks')",6.873254974273874e-13
737,Boscalid,"('soil', 'agricultural')",4.1504105652958075e-23
738,Bisphenol A,"('water',)",1.215845090648428e-08
739,Sodium chlorate,"('air', 'urban air close to ground')",3.755660156700156e-11
740,"Hydrocarbons, aliphatic, alkanes, cyclic","('air', 'urban air close to ground')",1.5261813675756125e-09
741,Methanol,"('water', 'surface water')",7.263006292817881e-10
742,Aldrin,"('soil', 'agricultural')",1.5873189898781285e-12
743,"Rhodium, Rh 1.6E-7%, in mixed ore, in ground","('natural resource', 'in ground')",9.021530346691978e-14
744,Tribenuron-methyl,"('soil', 'agricultural')",2.4653412824381096e-16
745,2-Aminopropanol,"('air', 'urban air close to ground')",8.284851519363327e-15
746,Radium-228,"('air', 'non-urban air or from high stacks')",3.237045303889345e-07
747,Selenium,"('air', 'low population density, long-term')",4.3494721372136965e-11
748,Ammonia,"('air', 'low population density, long-term')",1.0742637754095172e-11
749,Magnesium,"('water', 'ground-')",2.0385207416733774e-06
750,"Transformation, from annual crop","('natural resource', 'land')",4.6120896678872485e-06
751,Silicon,"('water', 'ocean')",3.956904235578705e-11
752,"Vanadium, ion","('water', 'ground-, long-term')",3.645756522626425e-07
753,Iodine-129,"('air', 'non-urban air or from high stacks')",6.95434339097961e-08
754,Butanol,"('water', 'surface water')",2.755620942017132e-10
755,Lithium,"('air', 'urban air close to ground')",1.1461998300316078e-14
756,Prosulfuron,"('soil', 'agricultural')",5.614641124439995e-17
757,"Phenol, 2,4-dichloro","('air', 'urban air close to ground')",1.2396122758734e-13
758,Methyl parathion,"('soil', 'agricultural')",3.334935522721624e-15
759,Xylene,"('water',)",6.255834783741307e-10
760,"Bicarbonate, ion","('water',)",0.0
761,"COD, Chemical Oxygen Demand","('water', 'ground-, long-term')",0.0006447503038305803
762,Magnesium,"('water', 'ocean')",3.251246681458706e-07
763,Radon-220,"('air', 'non-urban air or from high stacks')",3.07401199042217e-05
764,"Methane, chlorodifluoro-, HCFC-22","('air', 'non-urban air or from high stacks')",2.188011300380323e-09
765,Organic carbon,"('air', 'urban air close to ground')",1.6690687495666073e-10
766,"Occupation, shrub land, sclerophyllous","('natural resource', 'land')",5.288844860744446e-06
767,Glucose,"('water',)",0.0
768,"Ethene, chloro-","('water', 'surface water')",8.29695722500731e-12
769,"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",7.704602949612359e-06
770,Sulfuric acid,"('air',)",4.3256625263683044e-11
771,Isoxaflutole,"('soil', 'agricultural')",2.4404735970092143e-15
772,2-Methyl-1-propanol,"('air', 'non-urban air or from high stacks')",0.0
773,"Copper, Cu 0.38%, in mixed ore, in ground","('natural resource', 'in ground')",1.0688888866946532e-05
774,"Transformation, from permanent crop, non-irrigated, intensive","('natural resource', 'land')",0.0
775,Glufosinate,"('soil', 'agricultural')",4.690074948501595e-13
